iter	Passed	Remaining
0	140	140598
1	146	73262
2	149	49588
3	152	37858
4	155	30952
5	158	26274
6	160	22830
7	163	20223
8	165	18235
9	167	16607
10	171	15386
11	173	14267
12	175	13320
13	177	12508
14	179	11764
15	181	11145
16	186	10769
17	189	10334
18	193	9982
19	196	9633
20	200	9345
21	202	9010
22	204	8703
23	207	8421
24	210	8191
25	212	7972
26	216	7810
27	219	7603
28	221	7404
29	223	7215
30	225	7058
31	228	6897
32	230	6749
33	232	6594
34	233	6443
35	237	6362
36	240	6247
37	246	6244
38	249	6138
39	251	6047
40	254	5943
41	256	5842
42	258	5751
43	260	5659
44	262	5563
45	269	5581
46	271	5511
47	273	5424
48	274	5335
49	276	5257
50	279	5207
51	282	5152
52	285	5104
53	287	5034
54	289	4971
55	290	4900
56	292	4837
57	293	4774
58	299	4772
59	303	4761
60	307	4732
61	309	4680
62	311	4637
63	315	4615
64	319	4599
65	322	4561
66	324	4521
67	326	4480
68	329	4451
69	333	4432
70	335	4389
71	336	4343
72	339	4313
73	341	4272
74	342	4229
75	345	4201
76	348	4173
77	350	4142
78	353	4126
79	356	4100
80	359	4082
81	362	4059
82	363	4016
83	365	3989
84	369	3977
85	371	3947
86	374	3930
87	376	3905
88	378	3873
89	380	3844
90	382	3819
91	384	3790
92	385	3762
93	388	3745
94	390	3717
95	392	3691
96	393	3664
97	395	3636
98	396	3609
99	397	3581
100	399	3555
101	401	3531
102	402	3507
103	404	3484
104	406	3462
105	407	3439
106	409	3417
107	411	3399
108	413	3381
109	415	3361
110	417	3343
111	419	3327
112	421	3308
113	423	3287
114	424	3267
115	426	3251
116	428	3231
117	431	3228
118	434	3216
119	436	3200
120	437	3181
121	439	3160
122	440	3142
123	442	3127
124	444	3111
125	446	3095
126	447	3076
127	449	3063
128	451	3047
129	452	3030
130	454	3015
131	456	2998
132	457	2980
133	458	2964
134	460	2950
135	462	2935
136	463	2921
137	465	2910
138	467	2895
139	469	2881
140	470	2867
141	473	2859
142	479	2876
143	483	2873
144	486	2867
145	488	2856
146	491	2851
147	493	2838
148	494	2824
149	496	2812
150	498	2800
151	499	2789
152	501	2778
153	504	2770
154	506	2758
155	508	2750
156	510	2739
157	511	2727
158	513	2714
159	514	2703
160	516	2690
161	518	2684
162	520	2674
163	522	2663
164	523	2651
165	525	2639
166	526	2627
167	528	2618
168	530	2606
169	531	2597
170	535	2593
171	537	2589
172	540	2583
173	542	2573
174	544	2568
175	548	2565
176	550	2558
177	553	2554
178	555	2546
179	557	2538
180	558	2527
181	560	2517
182	561	2506
183	563	2499
184	565	2490
185	567	2483
186	569	2476
187	572	2474
188	575	2468
189	576	2459
190	578	2451
191	581	2447
192	582	2437
193	584	2428
194	586	2421
195	588	2413
196	589	2404
197	591	2396
198	593	2390
199	597	2390
200	600	2385
201	602	2380
202	606	2379
203	614	2396
204	616	2389
205	618	2382
206	620	2377
207	623	2372
208	625	2366
209	629	2367
210	632	2363
211	634	2358
212	637	2353
213	640	2351
214	642	2345
215	644	2337
216	646	2332
217	648	2327
218	654	2334
219	660	2343
220	664	2341
221	669	2345
222	673	2345
223	683	2367
224	686	2363
225	688	2357
226	690	2352
227	694	2350
228	696	2346
229	698	2339
230	700	2333
231	703	2329
232	705	2323
233	711	2330
234	715	2330
235	717	2324
236	722	2325
237	727	2328
238	729	2322
239	732	2319
240	736	2318
241	740	2320
242	743	2315
243	745	2310
244	747	2303
245	749	2296
246	752	2294
247	754	2288
248	756	2282
249	759	2277
250	761	2273
251	766	2274
252	772	2280
253	774	2273
254	778	2273
255	781	2270
256	783	2264
257	785	2257
258	787	2252
259	789	2246
260	792	2243
261	795	2240
262	797	2234
263	799	2228
264	801	2224
265	805	2223
266	808	2218
267	813	2223
268	816	2217
269	818	2212
270	821	2211
271	824	2205
272	829	2209
273	833	2208
274	835	2203
275	840	2205
276	844	2203
277	848	2204
278	851	2201
279	854	2196
280	856	2191
281	858	2185
282	860	2179
283	861	2173
284	863	2166
285	865	2161
